feature,importance
contract_Month-to-month,0.08400747619396287
dependents_True,0.07854882850961072
contract_Two year,0.07073138716769918
internet_service_Fiber optic,0.06071472220283889
tech_support_No,0.05473056983264018
tech_support_No internet service,0.052892274801958405
tenure,0.050273447498685155
total_charges,0.04435298603715314
tenure_months,0.036409222135905535
online_security_Yes,0.03627099115458978
online_security_No,0.03181667694380438
internet_service_No,0.028717574516241844
monthly_charges,0.028601717442453767
dependents_False,0.02659064670542914
device_protection_No internet service,0.025426868372587147
payment_method_Electronic check,0.024111426882609862
online_backup_No internet service,0.023496065703986258
paperless_billing_True,0.023274436412554732
device_protection_No,0.02180578940736875
contract_One year,0.016512495937411845
tech_support_Yes,0.015191777744116286
online_backup_No,0.015183112480814562
online_security_No internet service,0.014426950219844605
streaming_tv_No internet service,0.011581006485948887
payment_method_Credit card (automatic),0.01153311550875189
streaming_movies_No internet service,0.010368442713989474
cltv,0.009917420216049045
partner_False,0.008194267798121546
latitude,0.008015613254994912
paperless_billing_False,0.007292534708760823
longitude,0.006980542771230479
streaming_tv_Yes,0.006612198267100129
zip_code,0.006163772872930422
senior_citizen_Yes,0.004907647218187977
partner_True,0.004549354158556593
streaming_movies_Yes,0.004125335105808984
internet_service_DSL,0.0037824687273939244
streaming_tv_No,0.0037631119616572104
senior_citizen_No,0.0033596097884811007
payment_method_Bank transfer (automatic),0.0033347461302716186
device_protection_Yes,0.002360848722647569
streaming_movies_No,0.0023235305710706472
multiple_lines_Yes,0.002197148590728936
payment_method_Mailed check,0.001897133361507333
online_backup_Yes,0.001598287331146069
gender_Female,0.001411881750812626
multiple_lines_No,0.0012022933363364022
multiple_lines_No phone service,0.001106219989938892
gender_Male,0.0010400109381986816
phone_service_False,0.0008841058717466526
city_Los Angeles,0.0005586223859375372
phone_service_True,0.00045918235941974455
city_San Francisco,0.0003757847182993147
city_San Diego,0.000293237197561035
city_Sacramento,0.0002517713975584601
city_Burbank,0.00025092373738691304
city_Santa Barbara,0.00020662989575568014
city_Corona,0.0001845290873041865
city_Bakersfield,0.00016411859207000022
city_Santa Maria,0.00015660473653181998
city_San Jose,0.00015454324749798545
city_Fresno,0.00014264925037033564
city_Lake Elsinore,0.00014248147995199486
city_West Covina,0.0001226691474095044
city_Pomona,0.00011366688551108178
city_El Monte,0.00011056979380561823
city_Fullerton,0.00010798260326259133
city_Palmdale,0.00010594070472866656
city_Vallejo,0.00010456935552087382
city_Stockton,0.00010274401853414007
city_Temecula,0.00010232597470751569
city_Anaheim,9.620067671426791e-05
city_Hemet,9.475990696692038e-05
city_Redondo Beach,9.44189800397117e-05
city_Orange,9.18281589236663e-05
city_Beverly Hills,8.569672229665647e-05
city_Rancho Cucamonga,8.263784919383654e-05
city_Irvine,8.080188873384968e-05
city_Compton,6.398218389104134e-05
city_Whittier,6.052935699571019e-05
city_Long Beach,5.2815872698109946e-05
city_Carlsbad,5.1526800562774514e-05
city_Newport Beach,4.980354234615045e-05
city_Torrance,3.9899009739025625e-05
city_Canoga Park,3.818203034580176e-05
city_Gardena,3.485980705909393e-05
city_Modesto,3.4200947525208906e-05
city_La Mesa,3.0369508145848482e-05
city_North Hollywood,2.9312351086485896e-05
city_Redwood City,2.597571147458907e-05
city_Clovis,2.170592333013369e-05
city_Palo Alto,1.9041631741534647e-05
city_Santa Monica,9.181938113616007e-06
city_Van Nuys,4.425600259666754e-06
city_Glendale,3.4087690620439323e-06
city_Inglewood,1.6201994495444624e-06
city_Palm Desert,1.0418318610047158e-06
city_Roseville,1.337756828258221e-07
