customerid,gender,senior_citizen,partner,dependents,tenure_months,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,tenure_group,charges_tier,churn_display
3668-QPYBK,Male,No,False,False,2,2,True,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,True,Mailed check,53.85,108.15,Yes,1,0-6 mo,Medium ($35-70),Churned
9237-HQITU,Female,No,False,True,2,2,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,70.7,151.65,Yes,1,0-6 mo,High ($70+),Churned
9305-CDSKC,Female,No,False,True,8,8,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,99.65,820.5,Yes,1,7-12 mo,High ($70+),Churned
7892-POOKP,Female,No,True,True,28,28,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,104.8,3046.05,Yes,1,25-48 mo,High ($70+),Churned
0280-XJGEX,Male,No,False,True,49,49,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),103.7,5036.3,Yes,1,49-72 mo,High ($70+),Churned
4190-MFLUW,Female,No,True,False,10,10,True,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,False,Credit card (automatic),55.2,528.35,Yes,1,7-12 mo,Medium ($35-70),Churned
8779-QRDMV,Male,Yes,False,False,1,1,False,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,True,Electronic check,39.65,39.65,Yes,1,0-6 mo,Medium ($35-70),Churned
1066-JKSGK,Male,No,False,False,1,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.15,20.15,Yes,1,0-6 mo,Low ($0-35),Churned
6467-CHFZW,Male,No,True,True,47,47,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,99.35,4749.15,Yes,1,25-48 mo,High ($70+),Churned
8665-UTDHZ,Male,No,True,False,1,1,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,False,Electronic check,30.2,30.2,Yes,1,0-6 mo,Low ($0-35),Churned
8773-HHUOZ,Female,No,False,False,17,17,True,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,True,Mailed check,64.7,1093.1,Yes,1,13-24 mo,Medium ($35-70),Churned
6047-YHPVI,Male,No,False,True,5,5,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,69.7,316.9,Yes,1,0-6 mo,Medium ($35-70),Churned
5380-WJKOV,Male,No,False,True,34,34,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,106.35,3549.25,Yes,1,25-48 mo,High ($70+),Churned
8168-UQWWF,Female,No,False,True,11,11,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),97.85,1105.4,Yes,1,7-12 mo,High ($70+),Churned
7760-OYPDY,Female,No,False,True,2,2,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,80.65,144.15,Yes,1,0-6 mo,High ($70+),Churned
9420-LOJKX,Female,No,False,True,15,15,True,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card (automatic),99.1,1426.4,Yes,1,13-24 mo,High ($70+),Churned
7495-OOKFY,Female,Yes,True,True,8,8,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Credit card (automatic),80.65,633.3,Yes,1,7-12 mo,High ($70+),Churned
1658-BYGOY,Male,Yes,False,True,18,18,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,95.45,1752.55,Yes,1,13-24 mo,High ($70+),Churned
5698-BQJOH,Female,No,False,True,9,9,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,False,Electronic check,94.4,857.25,Yes,1,7-12 mo,High ($70+),Churned
5919-TMRGD,Female,No,False,True,1,1,True,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,True,Electronic check,79.35,79.35,Yes,1,0-6 mo,High ($70+),Churned
9191-MYQKX,Female,No,True,True,7,7,True,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Bank transfer (automatic),75.15,496.9,Yes,1,7-12 mo,High ($70+),Churned
8637-XJIVR,Female,No,False,True,12,12,True,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,True,Electronic check,78.95,927.35,Yes,1,7-12 mo,High ($70+),Churned
0278-YXOOG,Male,No,False,False,5,5,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,21.05,113.85,Yes,1,0-6 mo,Low ($0-35),Churned
4598-XLKNJ,Female,Yes,True,True,25,25,True,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,98.5,2514.5,Yes,1,25-48 mo,High ($70+),Churned
3192-NQECA,Male,No,True,False,68,68,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),110.0,7611.85,Yes,1,49-72 mo,High ($70+),Churned
0486-HECZI,Male,No,True,True,55,55,True,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,96.75,5238.9,Yes,1,49-72 mo,High ($70+),Churned
4846-WHAFZ,Female,Yes,True,True,37,37,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,76.5,2868.15,Yes,1,25-48 mo,High ($70+),Churned
5299-RULOA,Female,No,True,True,10,10,True,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,100.25,1064.65,Yes,1,7-12 mo,High ($70+),Churned
0404-SWRVG,Male,No,False,True,3,3,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.4,229.55,Yes,1,0-6 mo,High ($70+),Churned
4412-YLTKF,Female,Yes,False,True,27,27,True,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Electronic check,78.05,2135.5,Yes,1,25-48 mo,High ($70+),Churned
6207-WIOLX,Female,No,True,False,25,25,False,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,True,Credit card (automatic),58.6,1502.65,Yes,1,25-48 mo,Medium ($35-70),Churned
3091-FYHKI,Male,No,False,False,1,1,False,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,True,Electronic check,35.45,35.45,Yes,1,0-6 mo,Medium ($35-70),Churned
2372-HWUHI,Male,No,False,False,2,2,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,44.35,81.25,Yes,1,0-6 mo,Medium ($35-70),Churned
0390-DCFDQ,Female,Yes,True,True,1,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,70.45,70.45,Yes,1,0-6 mo,High ($70+),Churned
4080-OGPJL,Female,No,False,False,8,8,True,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,False,Electronic check,71.15,563.65,Yes,1,7-12 mo,High ($70+),Churned
2135-RXIHG,Male,No,False,False,1,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,45.65,45.65,Yes,1,0-6 mo,Medium ($35-70),Churned
3874-EQOEP,Male,No,False,True,7,7,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,False,Mailed check,95.0,655.5,Yes,1,7-12 mo,High ($70+),Churned
0867-MKZVY,Female,No,True,True,20,20,True,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,False,Electronic check,82.4,1592.35,Yes,1,13-24 mo,High ($70+),Churned
3376-BMGFE,Female,No,False,True,4,4,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),70.9,273.0,Yes,1,0-6 mo,High ($70+),Churned
3445-HXXGF,Male,Yes,True,False,58,58,False,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,True,Electronic check,45.3,2651.2,Yes,1,49-72 mo,Medium ($35-70),Churned
1875-QIVME,Female,No,True,True,2,2,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,104.4,242.8,Yes,1,0-6 mo,High ($70+),Churned
0691-JVSYA,Female,No,True,False,53,53,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,True,Bank transfer (automatic),94.85,5000.2,Yes,1,49-72 mo,High ($70+),Churned
2656-FMOKZ,Female,Yes,False,True,15,15,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,74.45,1145.7,Yes,1,13-24 mo,High ($70+),Churned
2070-FNEXE,Female,Yes,False,True,7,7,True,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,False,Bank transfer (automatic),76.45,503.6,Yes,1,7-12 mo,High ($70+),Churned
6317-YPKDH,Female,No,False,False,1,1,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,False,Bank transfer (automatic),29.95,29.95,Yes,1,0-6 mo,Low ($0-35),Churned
9367-WXLCH,Male,No,False,True,8,8,True,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,False,Bank transfer (automatic),84.5,662.65,Yes,1,7-12 mo,High ($70+),Churned
1918-ZBFQJ,Female,No,False,True,13,13,True,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,True,Electronic check,79.25,1111.65,Yes,1,13-24 mo,High ($70+),Churned
1024-GUALD,Female,No,True,False,1,1,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,24.8,24.8,Yes,1,0-6 mo,Low ($0-35),Churned
2472-OVKUP,Male,No,True,True,6,6,True,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,True,Electronic check,91.0,531.0,Yes,1,0-6 mo,High ($70+),Churned
1285-OKIPP,Male,No,False,True,1,1,True,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,False,Electronic check,79.9,79.9,Yes,1,0-6 mo,High ($70+),Churned
7825-ECJRF,Female,No,False,True,19,19,True,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,106.6,1934.45,Yes,1,13-24 mo,High ($70+),Churned
7841-TZDMQ,Male,No,False,False,2,2,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Credit card (automatic),46.0,84.5,Yes,1,0-6 mo,Medium ($35-70),Churned
9408-SSNVZ,Female,No,False,True,4,4,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,70.15,268.35,Yes,1,0-6 mo,High ($70+),Churned
0742-MOABM,Male,No,True,False,4,4,True,No,DSL,No,No,No,Yes,No,No,Month-to-month,False,Mailed check,50.05,179.35,Yes,1,0-6 mo,Medium ($35-70),Churned
2232-DMLXU,Female,No,True,False,1,1,True,No,DSL,No,No,No,No,Yes,No,Month-to-month,False,Mailed check,55.2,55.2,Yes,1,0-6 mo,Medium ($35-70),Churned
8937-RDTHP,Male,No,False,True,1,1,True,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,True,Mailed check,84.6,84.6,Yes,1,0-6 mo,High ($70+),Churned
1251-KRREG,Male,No,False,False,2,2,True,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,True,Mailed check,54.4,114.1,Yes,1,0-6 mo,Medium ($35-70),Churned
0094-OIFMO,Female,Yes,False,True,11,11,True,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Electronic check,95.0,1120.3,Yes,1,7-12 mo,High ($70+),Churned
9947-OTFQU,Male,Yes,False,False,15,15,True,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,74.4,1074.3,Yes,1,13-24 mo,High ($70+),Churned
0322-YINQP,Male,No,False,False,1,1,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,True,Mailed check,48.55,48.55,Yes,1,0-6 mo,Medium ($35-70),Churned
4629-NRXKX,Female,No,True,False,2,2,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Electronic check,70.4,147.15,Yes,1,0-6 mo,High ($70+),Churned
9514-JDSKI,Male,Yes,True,False,1,1,False,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,False,Electronic check,40.2,40.2,Yes,1,0-6 mo,Medium ($35-70),Churned
4959-JOSRX,Female,No,True,False,2,2,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Credit card (automatic),44.6,80.55,Yes,1,0-6 mo,Medium ($35-70),Churned
7273-TEFQD,Male,Yes,False,False,3,3,False,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,True,Electronic check,41.15,132.2,Yes,1,0-6 mo,Medium ($35-70),Churned
3606-TWKGI,Male,Yes,False,False,13,13,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,106.9,1364.3,Yes,1,13-24 mo,High ($70+),Churned
6323-AYBRX,Male,No,False,False,59,59,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,19.35,1099.6,Yes,1,49-72 mo,Low ($0-35),Churned
4385-GZQXV,Female,Yes,False,False,16,16,True,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,94.45,1511.2,Yes,1,13-24 mo,High ($70+),Churned
6366-ZGQGL,Male,No,False,False,1,1,False,No phone service,DSL,No,No,No,No,No,No,Month-to-month,False,Bank transfer (automatic),24.8,24.8,Yes,1,0-6 mo,Low ($0-35),Churned
5940-AHUHD,Male,No,False,False,1,1,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Mailed check,70.6,70.6,Yes,1,0-6 mo,High ($70+),Churned
